codigo,unidade_sanitaria,tipo,tipo_de_us,nivel,classificacao,maternidade_sn,latitude,longitude,provincia,distrito
1020100,HP Pemba,HP,Hospital Provincial,Nível Terciário,HP - Hospital Provincial,SIM,40.49529,-12.96592,CABO DELGADO,PEMBA
1020105,PS Base Naval,PS,Posto de Saúde,Nível Primário,PS - Posto de Saúde,NÃO,,,CABO DELGADO,PEMBA
1021710,CS Bilibiza,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 1,SIM,40.28542,-12.56396,CABO DELGADO,QUISSANGA
1021707,CS Cagembe,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,,,CABO DELGADO,QUISSANGA
1021708,CS Mahate,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,40.42193,-12.52363,CABO DELGADO,QUISSANGA
1021712,CS Nacoba,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,40.42549,-12.65951,CABO DELGADO,QUISSANGA
1021709,CS Namaluco,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,,,CABO DELGADO,QUISSANGA
1021706,CS Quissanga,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 1,SIM,40.48865,-12.4356,CABO DELGADO,QUISSANGA
1021711,CS Tororo,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,NÃO,,,CABO DELGADO,QUISSANGA
1090210,CS Incaia,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,33.21696,-24.95793,GAZA,BILENE
1090205,CS Incoluane,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,,,GAZA,BILENE
1090206,CS Macia,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 1,SIM,33.09219,-25.02977,GAZA,BILENE
1090208,CS Mamonho,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,33.0661,-24.95356,GAZA,BILENE
1090216,CS Mangol,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,33.08942,-25.12202,GAZA,BILENE
1090212,CS Mazivila,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,33.12008,-24.8713,GAZA,BILENE
